PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
172,32.5959764,129.3001829,0,-7.283,47.48,1,4929,34,90
173,32.5959761,129.3001791,0,-7.364,46.483,1,4929,34,90
174,32.5959758,129.3001752,0,-7.445,45.486,1,4929,34,90
175,32.5959756,129.3001714,0,-7.526,44.489,1,4929,34,90
176,32.5959753,129.3001676,0,-7.607,43.492,1,4929,34,90
177,32.595975,129.3001637,0,-7.688,42.495,1,4929,34,90
178,32.5959748,129.3001599,0,-7.769,41.498,1,4929,34,90
179,32.5959745,129.300156,0,-7.85,40.501,1,4929,34,90
180,32.5959743,129.3001522,0,-7.931,39.504,1,4929,34,90
181,32.595974,129.3001484,0,-8.012,38.507,1,4929,34,90
182,32.5959737,129.3001445,0,-8.093,37.51,1,4929,34,90
183,32.5959735,129.3001407,0,-8.174,36.513,1,4929,34,90
184,32.5959732,129.3001368,0,-8.255,35.516,1,4929,34,90
185,32.5959729,129.300133,0,-8.336,34.519,1,4929,34,90
186,32.5959727,129.3001291,0,-8.417,33.522,1,4929,34,90
187,32.5959724,129.3001253,0,-8.498,32.525,1,4929,34,90
188,32.5959721,129.3001215,0,-8.579,31.528,1,4929,34,90
189,32.5959719,129.3001176,0,-8.66,30.531,1,4929,34,90
190,32.5959716,129.3001138,0,-8.741,29.534,1,4929,34,90
191,32.5959714,129.3001099,0,-8.822,28.537,1,4929,34,90
192,32.5959711,129.3001061,0,-8.903,27.54,1,4929,34,90
193,32.5959708,129.3001023,0,-8.984,26.543,1,4929,34,90
194,32.5959706,129.3000984,0,-9.065,25.546,1,4929,34,90
195,32.5959703,129.3000946,0,-9.146,24.549,1,4929,34,90
196,32.59597,129.3000907,0,-9.227,23.552,1,4929,34,90
197,32.5959698,129.3000869,0,-9.308,22.555,1,4929,34,90
198,32.5959695,129.3000831,0,-9.389,21.558,1,4929,34,90
199,32.5959693,129.3000792,0,-9.47,20.561,1,4929,34,90
200,32.595969,129.3000754,0,-9.551,19.564,1,4929,34,90
201,32.5959687,129.3000715,0,-9.632,18.567,1,4929,34,90
202,32.5959685,129.3000677,0,-9.713,17.57,1,4929,34,90
203,32.5959682,129.3000638,0,-9.794,16.573,1,4929,34,90
204,32.5959679,129.30006,0,-9.875,15.576,1,4929,34,90
205,32.5959677,129.3000562,0,-9.956,14.579,1,4929,34,90
206,32.5959674,129.3000523,0,-10.037,13.582,1,4929,34,90
207,32.5959672,129.3000485,0,-10.118,12.585,1,4929,34,90
208,32.5959669,129.3000446,0,-10.199,11.588,1,4929,34,90
209,32.5959666,129.3000408,0,-10.28,10.591,1,4929,34,90
210,32.5959664,129.300037,0,-10.361,9.594,1,4929,34,90
211,32.5959661,129.3000331,0,-10.442,8.597,1,4929,34,90
212,32.5959658,129.3000293,0,-10.523,7.6,1,4929,34,90
213,32.5959656,129.3000254,0,-10.604,6.603,1,4929,34,90
214,32.5959653,129.3000216,0,-10.685,5.606,1,4929,34,90
215,32.595965,129.3000178,0,-10.766,4.609,1,4929,34,90
216,32.5959648,129.3000139,0,-10.847,3.612,1,4929,34,90
217,32.5959648,129.3000135,0,-10.856,3.5,1,4929,34,90
218,32.5959039,129.3001734,0,-29.591,45.009,1,4929,34,90
219,32.5959071,129.3001743,0,-28.619,45.244,1,4929,34,90
220,32.5959102,129.3001752,0,-27.647,45.479,1,4929,34,90
221,32.5959134,129.3001761,0,-26.675,45.714,1,4929,34,90
222,32.5959166,129.300177,0,-25.703,45.949,1,4929,34,90
223,32.5959197,129.3001779,0,-24.731,46.184,1,4929,34,90
224,32.5959229,129.3001788,0,-23.759,46.419,1,4929,34,90
225,32.595926,129.3001797,0,-22.787,46.654,1,4929,34,90
226,32.5959292,129.3001806,0,-21.815,46.889,1,4929,34,90
227,32.5959323,129.3001815,0,-20.843,47.124,1,4929,34,90
228,32.5959355,129.3001825,0,-19.871,47.359,1,4929,34,90
229,32.5959386,129.3001834,0,-18.899,47.594,1,4929,34,90
230,32.5959418,129.3001843,0,-17.927,47.829,1,4929,34,90
231,32.595945,129.3001852,0,-16.955,48.064,1,4929,34,90
232,32.5959481,129.3001861,0,-15.983,48.299,1,4929,34,90
233,32.5959513,129.300187,0,-15.011,48.534,1,4929,34,90
234,32.5959544,129.3001879,0,-14.039,48.769,1,4929,34,90
235,32.5959576,129.3001888,0,-13.067,49.004,1,4929,34,90
236,32.5959607,129.3001897,0,-12.095,49.239,1,4929,34,90
237,32.5959639,129.3001906,0,-11.123,49.474,1,4929,34,90
238,32.595967,129.3001915,0,-10.151,49.709,1,4929,34,90
239,32.5959702,129.3001924,0,-9.179,49.944,1,4929,34,90
240,32.5959734,129.3001933,0,-8.207,50.179,1,4929,34,90
241,32.5959765,129.3001942,0,-7.235,50.414,1,4929,34,90
242,32.5959772,129.3001944,0,-7.038,50.462,1,4929,34,90
